Construct,Protein,Tile_Number,Tile_ID,Activation,Repression
CL303,SuHV1 ICP4,1,P33479_001,9.795912,-0.107800981
CL304,HHV6B U95,1,Q89882_001,8.290825,2.570742443
CL305,HHV2 VP16,4,P68336_008,7.581439,1.319632282
CL306,EBV BNRF1,56,P03179_056,7.322434,2.225948228
CL307,KSHV ORF10,15,Q2HRC9_015,6.405118,-0.455148882
CL308,HHV1 DBP,109,P04296_109,6.187997,1.653370107
CL309,KSHV VIRF4,32,Q2HR73_032,6.185089,0.53159391
CL310,KSHV RTA,54,F5HCV3_054,6.06633,-0.628393224
CL311,HHV1 ICP4,8,P08392_008,5.4646,-0.61568519
CL312,EBV UL95,6,P03220_006,5.374807,1.424348842
CL313,HCMV UL32,6,P16793_006,5.275112,1.76000181
CL314,EBV EBNA6,76,Q3KST0_076,5.072182,0.079449541
CL315,EBV EBNA3,78,P12977_078,5.012791,0.283680062
CL316,VZV PRIM,73,Q4JQW9_073,4.935264,0.678039224
CL317,VZV UL14,11,P09295_011,4.880847,0.71984759
CL318,KSHV VIRF2,17,Q2HR71_017,4.616237,-0.67229277
CL319,KSHV HELI,1,Q2HR89_001,4.345917,0.562693784
CL320,HHV1 UL46,62,P10230_062,4.294716,-0.158964617
CL321,HHV6B UL38,20,Q9WT45_020,3.749427,-0.295829046
CL322,HHV2 DBP,110,P36384_110,3.749152,0.273913147
CL323,KSHV ORF75,14,Q9QR70_014,3.580613,-0.72998433
CL324,EBV EBNA3,4,Q69138_004,-1.261091276,4.986692
CL325,HHV7 U84,4,P52534_004,-1.710659108,4.885266
CL326,HHV2 HELI,14,P28277_014,-1.321454876,4.263314
CL327,HCMV UL18,8,P08560_008,-2.277583781,4.004786
CL328,HHV7 U8,8,P52523_008,-0.864477635,3.848251
CL329,HCMV UL82,40,P06726_040,-2.585073812,3.818779
CL330,KSHV VPK,1,F5HGH5_001,-2.894136033,3.256559
CL331,HCMV RL5A,3,F5HF23_003,-0.898808095,3.032372
CL332,HHV6A IE1,66,Q69567_066,-4.522537816,2.800741
CL333,HHV1 US3,30,P04413_030,-1.49238963,2.378622
CL334,HHV7 SCAF,40,P52351_040,-2.464879458,2.221319
CL335,HHV6A U79,34,P52529_034,-1.83330624,2.210027
CL336,VZV UNG,6,Q9J3N2_006,2.958379537,2.184045
CL337,KSHV ORF45,20,F5HDE4_020,-2.531530305,1.785258
CL338,HHV1 ICP22,8,P04485_008,-4.866376313,1.758002
CL339,VZV UL46,56,P09264_056,-2.715508822,1.73832
CL144,Human MYBA,1,fiducial_025,9.822293938,1.878874578
JT151,Human KRAB,1,fiducial_096,-2.427776999,6.961032383
