Label,rep1,rep2,rep3,rep4,Average,stderr
161,0.407608696,0.209677419,0.077922078,0.091836735,0.196761232,0.076242691
185,0.391304348,0.225806452,0.194805195,0.244897959,0.264203488,0.043605989
267,0.456521739,0.322580645,0.311688312,0.275510204,0.341575225,0.039614086
+26,1.076086957,1.403225806,1.441558442,1.43877551,1.339911679,0.088373395
+93,0.994565217,1.241935484,1.012987013,0.979591837,1.057269888,0.061932834
GFP,0.048913043,0.032258065,1.675324675,0,0.439123946,0.412191953
1017,0.375,0.209677419,0.077922078,0.06122449,0.180955997,0.072703518
1032,0.391304348,0.161290323,0.038961039,0.030612245,0.155541989,0.084071146
1052,0.440217391,0.225806452,0.077922078,0.030612245,0.193639541,0.092106721
1076,0.407608696,0.290322581,0.311688312,0.183673469,0.298323264,0.045944275
1102,1.059782609,1.096774194,1.012987013,0.857142857,1.006671668,0.052708306
mcherry,0,0,0.116883117,0,0.029220779,0.029220779
50_1,0.081521739,0.032258065,0.038961039,0,0.038185211,0.016762801
50_2,0.048913043,0.080645161,0,0.030612245,0.040042612,0.016880941
50_3,0.081521739,0.096774194,0,0.030612245,0.052227044,0.022430432
VS_1,0.945652174,1.112903226,1.168831169,1.132653061,1.090009907,0.049492835
VS_2,0.75,0.935483871,1.012987013,0.948979592,0.911862619,0.056540018
VS_3,1.304347826,0.951612903,0.818181818,0.918367347,0.998127474,0.105938908
185r,0.326086957,0.209677419,0.116883117,0.091836735,0.186121057,0.053094869
267r,0.52173913,0.451612903,0.272727273,0.336734694,0.3957035,0.055984607
1076r,0.358695652,0.241935484,0.155844156,0.12244898,0.219731068,0.052717434
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
